Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Active Engagement,Affiliative,START,-299.299,Not found,22650,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Human: Active Engagement,Affiliative,START,1.602,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,48,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Active Engagement,Affiliative,STOP,2.336,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,70,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Leaving/Avoiding Humans,Avoidant,START,32.332,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,969,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Active Engagement,Affiliative,START,33.267,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,997,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Human: Active Engagement,Affiliative,STOP,33.700,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,1010,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Leaving/Avoiding Humans,Avoidant,STOP,40.073,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,1201,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Human: Active Engagement,Affiliative,START,87.321,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2617,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Active Engagement,Affiliative,STOP,89.022,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2668,NA,
D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,2025-01-21 15:01:46,,897.563,Media file(s),player #1:D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,0.0,1055.054,1055.054,,Horse: Leaving/Avoiding Humans,Avoidant,START,281.448,D:\Videos from Trainings\Original Files\Norway August 2021\Horses and Humans\Camera 2\Norway_L1_horse_human_pasture2_v4_08_08_21.MP4,8435,NA,
