Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Human: Active Engagement,Affiliative,START,79.446,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2381,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Horse: Active Engagement,Affiliative,START,80.480,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2412,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Horse: Active Engagement,Affiliative,STOP,86.453,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2591,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Horse: Engaging with Environment,Affiliative,START,87.321,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2617,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Nose Touch,Affiliative,POINT,122.956,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,3685,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Nose Touch,Affiliative,POINT,141.608,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,4244,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Human: Active Engagement,Affiliative,STOP,180.747,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,5417,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Human: Passive Engagement,Neutral,START,181.281,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,5433,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Human: Passive Engagement,Neutral,STOP,218.418,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,6546,NA,
D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,2025-01-21 15:20:20,,169.202,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,0.0,305.005,305.005,,Human: Active Engagement,Affiliative,START,218.885,D:\Videos from Trainings\Original Files\Sweden May 2020\Icelandic_05_20_HorseHuman_v8_short.MP4,6560,NA,
