Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Human: Active Engagement,Affiliative,START,3.403,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,102,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Horse: Active Engagement,Affiliative,START,3.737,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,112,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Human: Active Engagement,Affiliative,STOP,19.653,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,589,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Horse: Active Engagement,Affiliative,STOP,21.355,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,640,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Human: Active Engagement,Affiliative,START,23.323,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,699,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Horse: Active Engagement,Affiliative,START,23.924,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,717,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Horse: Active Engagement,Affiliative,STOP,31.231,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,936,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Horse: Engaging with Environment,Affiliative,START,31.598,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,947,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Human: Active Engagement,Affiliative,STOP,35.369,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,1060,NA,
D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,2025-01-21 15:21:38,,1404.637,Media file(s),player #1:D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,0.0,1442.141,1442.141,,Human: Passive Engagement,Neutral,START,35.736,D:\Videos from Trainings\Original Files\Sweden October 2020\Saxtorp_10_20_HorseHuman_v3.MP4,1071,NA,
