Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Interaction type,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,5.372,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,161,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,12.579,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,377,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,23.190,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,695,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,39.973,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,1198,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,49.583,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,1486,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,59.826,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,1793,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Momentary retreat,Avoidant,POINT,65.566,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,1965,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,73.874,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,2214,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,START,76.376,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,2289,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,STOP,98.165,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,2942,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,100.200,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,3003,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,127.694,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,3827,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,130.764,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,3919,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,137.838,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,4131,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,138.739,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,4158,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,154.187,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,4622,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,156.957,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,4704,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,164.164,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,4920,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,192.325,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,5764,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,194.194,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,5820,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,206.740,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6196,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,210.343,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6304,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,START,218.418,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6546,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,STOP,222.489,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6668,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,225.392,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6755,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,225.425,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6756,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,START,227.394,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6815,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,STOP,233.266,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,6991,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,341.208,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,10226,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,341.241,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,10227,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,356.323,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,10679,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,358.024,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,10730,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,376.276,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,11277,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,400.700,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,12009,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,448.348,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,13437,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,488.288,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,14634,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,START,488.288,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,14634,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,STOP,491.825,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,14740,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,493.259,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,14783,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,497.831,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,14920,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,501.968,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,15044,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,504.270,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,15113,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,505.605,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,15153,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,508.942,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,15253,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,509.709,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,15276,NA,
Icelandic_05_20_HorseHuman_v2_medium,2024-10-03 09:34:39.826,,615.415,Media file(s),player #1:D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,0.0,676.576,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,540.774,D:/Videos from Trainings/Original Files/Practice/Icelandic_05_20_HorseHuman_v2_medium.MP4,16207,NA,
