Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Interaction type,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,0.000,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,5.672,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,170,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,16.383,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,491,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,16.383,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,491,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,START,16.383,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,491,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Human: Leaving/Avoiding Horses,Avoidant,STOP,19.286,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,578,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,293.627,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,8800,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,293.627,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,8800,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,296.963,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,8900,NA,
Norway_L1_horse_human_pasture1_v3_08_08_21,2024-10-03 09:36:53.847,,541.007,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,0.0,1027.627,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,296.963,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v3_08_08_21.MP4,8900,NA,
