Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Engaging with Environment,Affiliative,START,2.169,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,65,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Passive Engagement,Neutral,START,2.169,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,65,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Human: Active Engagement,Affiliative,START,2.169,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,65,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Active Engagement,Affiliative,START,6.006,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,180,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Engaging with Environment,Affiliative,STOP,6.006,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,180,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Passive Engagement,Neutral,STOP,6.006,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,180,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Active Engagement,Affiliative,STOP,37.838,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,1134,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Passive Engagement,Neutral,START,37.838,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,1134,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Active Engagement,Affiliative,START,41.642,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,1248,NA,
Norway_L1_horse_human_pasture2_V1_08_08_21,2025-02-04 08:14:48.601,,950.249,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,0.0,1055.054,29.970,,,,,Horse: Passive Engagement,Neutral,STOP,41.642,E:/AKG Grant/Videos from Trainings/Original Files/Norway August 2021/Horses and Humans/Camera 2/Norway_L1_horse_human_pasture2_v1_08_08_21.MP4,1248,NA,
