Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Active Engagement,Affiliative,START,70.704,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,2119,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Passive Engagement,Neutral,START,70.704,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,2119,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Leaving/Avoiding Horses,Avoidant,START,83.350,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,2498,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Passive Engagement,Neutral,STOP,83.350,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,2498,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Leaving/Avoiding Horses,Avoidant,STOP,122.255,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,3664,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Passive Engagement,Neutral,START,122.255,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,3664,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Active Engagement,Affiliative,STOP,143.176,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,4291,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Passive Engagement,Neutral,START,143.176,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,4291,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Leaving/Avoiding Humans,Avoidant,START,185.018,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,5545,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Passive Engagement,Neutral,STOP,185.018,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,5545,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Human: Passive Engagement,Neutral,STOP,185.018,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,5545,NA,
Saxtorp_8_20_HorseHuman_v2,2025-02-04 08:16:59.400,,354.054,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,0.0,445.245,29.970,,,,,Horse: Leaving/Avoiding Humans,Avoidant,STOP,191.792,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v2.MP4,5748,NA,
