Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Interaction type,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Nose Touch,Affiliative,POINT,7.808,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,234,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,143.176,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,4291,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,START,146.680,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,4396,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Leaving/Avoiding Humans,Avoidant,START,180.080,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,5397,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,182.382,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,5467,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,STOP,184.084,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,5517,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Leaving/Avoiding Humans,Avoidant,STOP,184.818,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,5539,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,241.007,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7223,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,244.511,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7328,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,254.788,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7636,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Passive Engagement,Neutral,START,254.921,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7640,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Passive Engagement,Neutral,STOP,256.323,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7682,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,258.358,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7743,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,263.897,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,7909,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,268.034,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,8033,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,STOP,278.478,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,8346,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Human: Passive Engagement,Neutral,START,278.678,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,8352,NA,
Saxtorp_8_20_HorseHuman_v3.MP4,2025-02-06 09:19:08.854,,471.552,Media file(s),player #1:D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,0.0,479.379,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,291.558,D:/Videos from Trainings/Original Files/Sweden August 2020/HasteKlinik Aug13-16/Saxtorp_8_20_HorseHuman_v3.MP4,8738,NA,
