Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,# of humans,# of horses,Center,Interaction type,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,START,6.807,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,204,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Human: Active Engagement,Affiliative,START,16.216,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,486,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,30.697,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,920,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Engaging with Environment,Affiliative,STOP,30.697,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,920,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,START,30.697,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,920,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,46.446,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1392,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Passive Engagement,Neutral,START,46.446,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1392,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,STOP,47.648,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1428,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,START,49.182,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1474,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,START,53.353,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1599,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Passive Engagement,Neutral,STOP,53.353,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,1599,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Positive Response,Affiliative,STOP,89.823,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,2692,NA,
TorHall_8_20_HorseHuman_v2,2024-10-03 09:37:45.420,,955.388,Media file(s),player #1:E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,0.0,1023.022,29.970,,,,Mock session,,Horse: Active Engagement,Affiliative,STOP,91.124,E:/AKG Grant/Videos from Trainings/Original Files/Sweden August 2020/Torna Hallestad Aug22-25/TorHall_8_20_HorseHuman_v2.MP4,2731,NA,
